source,target
,北
,北面
,二十
,山
,滑哥
,赫
,领格
,滑哥
,任所
,遂
,位
,任所
,遂
,庚/辛
,庚/辛/白
,庚/辛/白/银
,庚/辛/青/木
,苏隐
,庚/辛
,庚/辛/白
,庚/辛/白/银
,苏/白
,苏隐
,山/山陵
,茔墓
,山
,领格
,女婿
,配偶
,茔/陵
,向位格
,群山
,群山/陵
,领格
,行
,八
,八
,向位格
,第八
,八
,北
,词尾表领格附加成分
,仁
,仁
,执掌
,斛/胡
, 
,执旗鼓/都统
,制
,仁
,仁
,掌
,领格
,百/一百/招
,昭武
,昭
,百
,昭古得
,召古速
,汉儿
,百
,汉儿
,百
,领格
,昭文
,词尾表复數附加成分
,查乃
,大
,德
,下
,城
,闻听
,道
,度
,美丽/美好
,奉
,奉
,奉献
,词尾表领格附加成分
,乙你割
,无
,卒
,尤堇
,偶宁
,恻
,伊德古
,游/右
,再
,右
,崩/坍塌
,迁徙
,再
,旋
,崩/坍塌
,欲混
,解送
,流转
,运行
,再来
,徙
,徙
,流转
,历膺
,回转
,耶律
,兴旺
,耶律
,月椀
,实封
,用
,云独昆
,夷不耨隐
,宥/姚/药/尧
,道
,尧/药
,尧治
,尧治
,药只
,迁
,迁
,流转
,流传
,《易》
,向位格
,夷瓜
,杨/阳/泱
,杨宁
,遥辇
,遥里/遥辇
,复
,复
,月椀
,耶律
,好/昱
,坍塌
,盈古
,尤尔堪格
,尤勒古里
,夷古衮
,尤勒衮
,尤尔堪格
,（仆）射
,有
,在
,兮
,殗
,严/延/燕
,耶律
,延留
,耶鲁
,太平
,兴盛
,兴盛
,耶律
,太平
,耶律
,兴盛
,兴盛
,兴盛
,耶律
,兴盛
,兴盛
,琰/罨
,永宁
,永宁
,领格
,永宁
,向位格
,糺（军）
,耶宁
,女
,么葛/麽格
, 
,妻/夫人
, 
,皇后/耨斡么/地母
,侯
,氏族
,慕
, 
,令/遵旨
,（皇）后
,向位格
,女
,复
,女
,女（复数）
, 
,妻室
,女眷
,家族
,女
,领格
, 
,皇后
,领格
,  /  
,姨母
,芳
,光泽/辉
,侄女
,氏族
,发展
,楚
,朝隐
,军
,军
,领格
,军
,均/都
,旗鼓
,朝只
,慈特
, 
,执旗鼓/都统
, 
,执旗鼓/都统
,嘲隐
,粆宛
,军
,崇
,欣然
,使承（帐）/继承
,指示/令
,承祧
,亲
,使承（帐）
,使承（帐）
,承祧
,承/承祧
,（继）承
,一
,奥莫/莫斯
,统一/联合
,族
,族
,一
,善/十
,新
,对待
,省
,省
,领格
,守/叔/寿
,（甘）露
,寿/淑
,叔
,守
,领格
,顺
,寿
,山岗/山丘/山
,新
,善
,嘉
,新
,述澜
,释鲁
,释鲁乌
,殇
,善
,权
,（元）帅
,（元）帅
,领格
,夏勒
,时时里
,时时里
,时时邻
,时时里
,十
,审密/石抹
,审密/石抹
,领格
,审密
,叔
,沈/慎/申/神
,少
,鹰
,稍瓦
,领格
,率
,朔（州）
,率
,山
,沙里/郎君
,郎君/沙里
,领格
,舍利
,郎君
,向位格
,郎君（复数）
,郎君班
,夏剌剌
,沙里
,上
,沙赤
,尚/上
,饰
,工
,世里
,石烈
,石烈/乡
,石烈
,献/玄
,蜀
,沈
,善
,善
,石鲁隐
,实六
,石鲁隐
,述列
,水
,水
,圣/胜
,丞
,权
,祥
,善
,褒
,褒
,褒
,善
,隰
,枢/书/署
,枢
,室鲁
,过房
,石鲁隐
,述列
,实力昂
,圣/承
,十保/十
,时时里
,时时里
,夏邻
,善/单
,先
,先隐/先宁
,善宁
,仙峨/仙讷/谢宁
,顺
,顺
,舜
,领格
,好
,善
,乡
,家世
,室/师/史/世/氏/十/食
,师
,使
,领格
,师崇
,领格
,石丑
,沈
,实突宁
,可信赖
,石鲁隐
,西剌
,石剌
,兴
,盛
,昚思
,先
,圣（宗）
,石
,使
,外甥
,嗣
,妻
,配偶
,胜讹
,松峨
,双古里
,实翁兀哩
,少
,高丽
,领格
,蜀
,蜀
,石抹
,五/（招）讨
,五
,召入
,内
,追
,召
,被召
,使入内
,召
,被列入
,桃隈
,下
,专用
,帐
,陶得里
,领格
,陶瑰
,帐
,讨古
,五
,向位格
,五
,向位格
,卯/兔
,陶宁
,乌隐
,（招）讨
,领格
, 
,五院
,北院
,五
,讨得
,刺
,蔡
,齐/漆/迟
,九
,词尾表静词附加成分
,词尾表复数附加成分
,九
,向位格
,九次
,乙室己/乙室己堇
,乙室己（复数）
,乙室己
,乙室己
,斯给
,九
,小
,点
,虎
,胡里斯
,呼哩西
,户
,胡笃古
,胡朱/曷住/合柱
,辽
,胡里斯/胡里只
,哈喇/黑
,虎思/虎斯/强盛
,慧
,弘
,虎
,护/户
,帝
,帝
,领格
,帝室己
,乙室己
,向位格
,帝室己
,帝
,领格
,帝
,向位格
,梯里己
,帝
,领格
,迪
,惕隐（头领）
,惕隐
,惕隐
,帝德
,惕隐
,惕德
,惕隐
,惕德部
,领格
,藩属
,命令
,西
,词尾表复数附加成分
,安
,领格
,马安
,衣
,民
,属于
,法
,属于
,民
,民
,黑
,无
,庶
,曷鲁
,鹰/雁
, 
,黔黎
,领格
,曷鲁宁
,民
,何鲁兀哩
,曷鲁里
,曷鲁宁
,曷鲁隐
,民
,伴侣/伙伴
,何剌
,伙伴/伴侣
,关
,瓦桥关
,曷鲁不
,曷鲁本
,欣喜
,不胜
